"187","2","Raspberry_Pi_3","2017-07-02 18:05:06","26.02","25","0.42","0.42","0.42","2.50407","off"
"188","2","Raspberry_Pi_3","2017-07-02 18:10:06","24.02","21","7.58","2.27","0.41","4.30001","off"
"189","2","Raspberry_Pi_3","2017-07-02 18:15:06","24.02","21","0.41","0.41","0.41","2.48681","off"
"190","2","Raspberry_Pi_3","2017-07-02 18:20:06","24.02","21","0.41","0.41","0.41","2.48681","off"
"191","2","Raspberry_Pi_3","2017-07-02 18:25:06","24.02","21","7.58","2.28","0.42","4.30638","off"
"192","2","Raspberry_Pi_3","2017-07-02 18:30:06","24.02","21","7.58","2.28","0.41","4.30558","off"
"193","2","Raspberry_Pi_3","2017-07-02 18:35:06","25.02","20","7.58","2.29","0.41","4.31112","off"
"194","2","Raspberry_Pi_3","2017-07-02 18:40:06","24.02","21","7.59","2.28","0.41","4.30558","off"
"195","2","Raspberry_Pi_3","2017-07-02 18:45:06","24.02","21","7.58","2.28","0.41","4.30558","off"
"196","2","Raspberry_Pi_3","2017-07-02 18:50:06","28.02","19","7.58","2.27","0.41","4.30001","off"
"197","2","Raspberry_Pi_3","2017-07-02 18:55:05","24.02","21","7.59","2.27","0.4","4.29923","off"
"198","2","Raspberry_Pi_3","2017-07-02 19:00:06","24.02","21","7.58","2.28","0.41","4.30558","off"
"199","2","Raspberry_Pi_3","2017-07-02 19:05:06","24.02","21","7.58","2.27","0.4","4.29923","off"
"200","2","Raspberry_Pi_3","2017-07-02 19:10:05","23.02","21","7.58","2.27","0.4","4.29923","off"
"201","2","Raspberry_Pi_3","2017-07-02 19:15:06","23.02","21","7.58","2.27","0.4","4.29923","off"
"202","2","Raspberry_Pi_3","2017-07-02 19:20:06","23.02","21","0.4","0.4","0.4","2.46946","off"
"203","2","Raspberry_Pi_3","2017-07-02 19:25:06","23.02","21","7.57","2.28","0.4","4.3048","off"
"204","2","Raspberry_Pi_3","2017-07-02 19:30:05","23.02","21","7.57","2.28","0.4","4.3048","off"
"205","2","Raspberry_Pi_3","2017-07-02 19:35:06","25.02","20","0.4","0.4","0.4","2.46946","off"
"206","2","Raspberry_Pi_3","2017-07-02 19:40:06","25.02","20","0.4","0.4","0.4","2.46946","off"
"207","2","Raspberry_Pi_3","2017-07-02 19:45:06","23","21","2.29","0.4","0.41","2.48681","off"
"208","2","Raspberry_Pi_3","2017-07-02 19:50:05","25.02","20","0.41","0.41","0.41","2.48681","off"
"209","2","Raspberry_Pi_3","2017-07-02 19:55:06","23.02","21","0.41","0.41","0.41","2.48681","off"
"210","2","Raspberry_Pi_3","2017-07-02 20:00:06","23.02","21","7.58","2.3","0.41","4.31664","off"
"211","2","Raspberry_Pi_3","2017-07-02 20:05:05","24.02","21","7.58","2.3","0.4","4.31586","off"
"212","2","Raspberry_Pi_3","2017-07-02 20:10:07","25","20","0.4","0.4","0.4","2.46946","off"
"213","2","Raspberry_Pi_3","2017-07-02 20:15:06","23.02","21","0.4","0.4","0.4","2.46946","off"
"214","2","Raspberry_Pi_3","2017-07-02 20:20:06","25.02","20","7.58","2.3","0.39","4.31509","off"
"215","2","Raspberry_Pi_3","2017-07-02 20:25:06","23.02","21","7.58","2.32","0.39","4.32604","off"
"216","2","Raspberry_Pi_3","2017-07-02 20:30:06","23.02","21","7.57","2.31","0.39","4.32058","off"
"217","2","Raspberry_Pi_3","2017-07-02 20:35:06","25.02","20","7.57","2.31","0.39","4.32058","off"
"218","2","Raspberry_Pi_3","2017-07-02 20:40:06","25.02","20","0.4","0.4","0.4","2.46946","off"
"219","2","Raspberry_Pi_3","2017-07-02 20:45:06","23.02","21","7.57","2.33","0.4","4.33223","off"
"220","2","Raspberry_Pi_3","2017-07-02 20:50:06","23.02","21","0.4","0.4","0.4","2.46946","off"
"221","2","Raspberry_Pi_3","2017-07-02 20:55:06","25.02","20","7.57","2.29","0.4","4.31034","off"
"222","2","Raspberry_Pi_3","2017-07-02 21:00:05","24.02","21","0.4","0.4","0.4","2.46946","off"
"223","2","Raspberry_Pi_3","2017-07-02 21:05:06","25.02","20","7.58","2.33","0.39","4.33147","off"
"224","2","Raspberry_Pi_3","2017-07-02 21:10:06","26.02","20","7.58","2.33","0.39","4.33147","off"
